CASE,OFFENSE CODE,OFFENSE DESCRIPTION,REPORT DATE,OCC DATE,DAY OF WEEK,LOCATION,Location 1
SL2012145443,1316-3,ASSAULT,08/20/2012 02:01:00 PM,08/20/2012 02:01:00 PM,2,"300 E 200 S
Salt lake City, Utah
(40.76499708600045, -111.88232014999971)","300 E 200 S
Salt lake City, Utah
(40.76499708600045, -111.88232014999971)"
SL2012183752,1316-3,ASSAULT,10/20/2012 05:01:00 PM,10/20/2012 05:01:00 PM,7,"200 S 1300 E
Salt lake City, Utah
(40.76493425900048, -111.8539117629997)","200 S 1300 E
Salt lake City, Utah
(40.76493425900048, -111.8539117629997)"
SL201241126,1313-0,ASSAULT,03/11/2012 04:40:00 PM,03/11/2012 04:40:00 PM,1,"1400 W 400 S
Salt lake City, Utah
(40.760667760000445, -111.9322005569997)","1400 W 400 S
Salt lake City, Utah
(40.760667760000445, -111.9322005569997)"
SL2012159733,1313-0,ASSAULT,09/11/2012 07:32:00 AM,09/07/2012 03:15:00 PM,6,"7 E 000 S
Salt lake City, Utah
(40.76957071100048, -111.87758713499971)","7 E 000 S
Salt lake City, Utah
(40.76957071100048, -111.87758713499971)"
SL201296973,1313-0,ASSAULT,06/09/2012 05:01:00 AM,06/09/2012 05:01:00 AM,7,"1500 S STATE ST
Salt lake City, Utah
(40.7370206330005, -111.88826635599969)","1500 S STATE ST
Salt lake City, Utah
(40.7370206330005, -111.88826635599969)"
SL2012119080,1316-2,ASSAULT,07/12/2012 05:01:00 AM,07/12/2012 05:01:00 AM,5,"2400 S 1700 E
Salt lake City, Utah
(40.71879673900048, -111.84218031599971)","2400 S 1700 E
Salt lake City, Utah
(40.71879673900048, -111.84218031599971)"
SL2012110716,1313-0,ASSAULT,06/29/2012 10:36:00 PM,06/29/2012 10:36:00 PM,6,"1300 S WEST TEMPLE ST
Salt lake City, Utah
(40.74151196300045, -111.8939739119997)","1300 S WEST TEMPLE ST
Salt lake City, Utah
(40.74151196300045, -111.8939739119997)"
SL2012151691,1313-0,ASSAULT,08/29/2012 07:25:00 PM,08/29/2012 07:25:00 PM,4,"1300 S WEST TEMPLE ST
Salt lake City, Utah
(40.74151196300045, -111.8939739119997)","1300 S WEST TEMPLE ST
Salt lake City, Utah
(40.74151196300045, -111.8939739119997)"
SL2012121435,1313-0,ASSAULT,07/15/2012 02:50:00 PM,07/15/2012 01:34:00 PM,1,"2100 S LAKE ST
Salt lake City, Utah
(40.723900562000495, -111.86967259799968)","2100 S LAKE ST
Salt lake City, Utah
(40.723900562000495, -111.86967259799968)"
SL201223020,1313-0,ASSAULT,02/09/2012 06:00:00 PM,02/09/2012 06:00:00 PM,5,"1100 E 2155 S
Salt lake City, Utah
(40.62183501600049, -111.82928901199966)","1100 E 2155 S
Salt lake City, Utah
(40.62183501600049, -111.82928901199966)"
SL2012104239,1313-0,ASSAULT,06/20/2012 06:25:00 PM,06/20/2012 06:25:00 PM,4,"200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)","200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)"
SL201265313,1316-2,ASSAULT,04/19/2012 01:00:00 PM,04/19/2012 11:30:00 AM,5,"1700 W 1700 N
Salt lake City, Utah
(40.80565126300047, -111.9392545499997)","1700 W 1700 N
Salt lake City, Utah
(40.80565126300047, -111.9392545499997)"
SL201245078,1313-0,ASSAULT,03/18/2012 07:24:00 AM,03/17/2012 10:30:00 PM,7,"400 E 5TH AVE
Salt lake City, Utah
(40.77506800100048, -111.87743088799971)","400 E 5TH AVE
Salt lake City, Utah
(40.77506800100048, -111.87743088799971)"
SL201218202,1313-1,ASSAULT,02/01/2012 05:19:00 PM,02/01/2012 05:19:00 PM,4,"1100 S PIONEER RD
Salt lake City, Utah
(40.74569265500048, -111.95805431599968)","1100 S PIONEER RD
Salt lake City, Utah
(40.74569265500048, -111.95805431599968)"
SL2012167580,1316-2,ASSAULT,09/23/2012 04:18:00 PM,09/23/2012 04:18:00 PM,1,"1200 E 2700 S
Salt lake City, Utah
(40.7126753230005, -111.85636971199972)","1200 E 2700 S
Salt lake City, Utah
(40.7126753230005, -111.85636971199972)"
SL201279863,1316-3,ASSAULT,05/13/2012 09:04:00 AM,05/13/2012 09:04:00 AM,1,"600 E WILSON AVE
Salt lake City, Utah
(40.73221350500046, -111.8737910749997)","600 E WILSON AVE
Salt lake City, Utah
(40.73221350500046, -111.8737910749997)"
SL201276269,1316-2,ASSAULT,05/07/2012 04:11:00 PM,05/07/2012 04:11:00 PM,2,"300 N C ST
Salt lake City, Utah
(40.77633134200045, -111.88051303799966)","300 N C ST
Salt lake City, Utah
(40.77633134200045, -111.88051303799966)"
SL2012194386,1399-0,ASSAULT,11/08/2012 12:57:00 PM,11/08/2012 11:36:00 AM,5,"1300 S STATE ST
Salt lake City, Utah
(40.7415210850005, -111.88826244099971)","1300 S STATE ST
Salt lake City, Utah
(40.7415210850005, -111.88826244099971)"
SL201216577,1313-0,ASSAULT,01/29/2012 07:17:00 PM,01/29/2012 07:17:00 PM,1,"300 N C ST
Salt lake City, Utah
(40.77633134200045, -111.88051303799966)","300 N C ST
Salt lake City, Utah
(40.77633134200045, -111.88051303799966)"
SL201246081,1316-2,ASSAULT,03/20/2012 12:53:00 AM,03/20/2012 12:53:00 AM,3,"800 W 700 N
Salt lake City, Utah
(40.78459808400049, -111.9140968589997)","800 W 700 N
Salt lake City, Utah
(40.78459808400049, -111.9140968589997)"
SL201279147,1313-0,ASSAULT,05/12/2012 06:13:00 AM,05/12/2012 06:13:00 AM,7,"00 E 1700 S
Salt lake City, Utah
(40.73351144100047, -111.85950483899967)","00 E 1700 S
Salt lake City, Utah
(40.73351144100047, -111.85950483899967)"
SL2012116265,1313-0,ASSAULT,07/07/2012 06:31:00 PM,07/07/2012 06:31:00 PM,7,"600 E GARFIELD AVE
Salt lake City, Utah
(40.72944477200048, -111.87379147199971)","600 E GARFIELD AVE
Salt lake City, Utah
(40.72944477200048, -111.87379147199971)"
SL201260112,1313-0,ASSAULT,04/12/2012 06:57:00 AM,04/12/2012 06:57:00 AM,5,"2000 S LINCOLN ST
Salt lake City, Utah
(40.726687815000446, -111.86394155999972)","2000 S LINCOLN ST
Salt lake City, Utah
(40.726687815000446, -111.86394155999972)"
SL201298551,1313-0,ASSAULT,06/11/2012 11:00:00 PM,06/11/2012 11:00:00 PM,2,"2600 S 1700 E
Salt lake City, Utah
(40.715380231000495, -111.84213202499967)","2600 S 1700 E
Salt lake City, Utah
(40.715380231000495, -111.84213202499967)"
SL201245643,1399-0,ASSAULT,03/19/2012 10:28:00 AM,03/19/2012 10:28:00 AM,2,"200 E KENSINGTON AVE
Salt lake City, Utah
(40.7367577980005, -111.88526038299972)","200 E KENSINGTON AVE
Salt lake City, Utah
(40.7367577980005, -111.88526038299972)"
SL2012165487,1313-0,ASSAULT,09/20/2012 11:03:00 AM,09/20/2012 11:03:00 AM,5,"400 E 2100 S
Salt lake City, Utah
(40.72542474000045, -111.87954803099967)","400 E 2100 S
Salt lake City, Utah
(40.72542474000045, -111.87954803099967)"
SL2012155503,1313-0,ASSAULT,09/04/2012 05:26:00 PM,09/04/2012 03:20:00 PM,3,"500 E 700 S
Salt lake City, Utah
(40.754103177000445, -111.87666950799968)","500 E 700 S
Salt lake City, Utah
(40.754103177000445, -111.87666950799968)"
SL2012132295,1313-0,ASSAULT,07/31/2012 03:56:00 PM,07/28/2012 08:00:00 PM,7,"500 S 1000 W
Salt lake City, Utah
(40.75837134200049, -111.9196117629997)","500 S 1000 W
Salt lake City, Utah
(40.75837134200049, -111.9196117629997)"
SL2012165933,1313-0,ASSAULT,09/21/2012 01:43:00 AM,09/21/2012 01:43:00 AM,6,"2600 E STRINGHAM AVE
Salt lake City, Utah
(40.72106100500048, -111.81571984399972)","2600 E STRINGHAM AVE
Salt lake City, Utah
(40.72106100500048, -111.81571984399972)"
SL201290306,1313-0,ASSAULT,05/30/2012 03:03:00 AM,05/30/2012 03:03:00 AM,4,"900 E 600 S
Salt lake City, Utah
(40.75630410100047, -111.86521761399968)","900 E 600 S
Salt lake City, Utah
(40.75630410100047, -111.86521761399968)"
SL2012213322,1313-0,ASSAULT,12/14/2012 09:20:00 AM,12/12/2012 11:15:00 AM,4,"800 S 1300 E
Salt lake City, Utah
(40.75186144200046, -111.85393334699967)","800 S 1300 E
Salt lake City, Utah
(40.75186144200046, -111.85393334699967)"
SL201213964,1313-0,ASSAULT,01/25/2012 11:40:00 AM,01/25/2012 08:00:00 AM,4,"1400 W ANDREW AVE
Salt lake City, Utah
(40.73689073300045, -111.93048104099967)","1400 W ANDREW AVE
Salt lake City, Utah
(40.73689073300045, -111.93048104099967)"
SL20128194,1313-0,ASSAULT,01/14/2012 08:10:00 PM,01/14/2012 08:09:00 PM,7,"700N N TERMINAL NORTHBOUND DR
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)","700N N TERMINAL NORTHBOUND DR
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012220504,1316-3,ASSAULT,12/29/2012 09:17:00 AM,12/29/2012 09:17:00 AM,7,"2700 S HIGHLAND AVE
Salt lake City, Utah
(40.680725071000495, -111.84306450799971)","2700 S HIGHLAND AVE
Salt lake City, Utah
(40.680725071000495, -111.84306450799971)"
SL201221698,1316-1,ASSAULT,02/07/2012 03:53:00 PM,02/04/2012 10:00:00 PM,7,"1800 S PARK ST
Salt lake City, Utah
(40.73126945200045, -111.87538740199972)","1800 S PARK ST
Salt lake City, Utah
(40.73126945200045, -111.87538740199972)"
SL2012205058,1316-3,ASSAULT,11/28/2012 05:26:00 PM,11/28/2012 05:26:00 PM,4,"900 S GLENDALE ST
Salt lake City, Utah
(40.75017399900048, -111.92343197599968)","900 S GLENDALE ST
Salt lake City, Utah
(40.75017399900048, -111.92343197599968)"
SL2012158875,1313-0,ASSAULT,09/09/2012 06:24:00 PM,09/09/2012 05:45:00 PM,1,"300 W 400 S
Salt lake City, Utah
(40.760689053000476, -111.89979164699969)","300 W 400 S
Salt lake City, Utah
(40.760689053000476, -111.89979164699969)"
SL2012103571,1303-0,ASSAULT,06/19/2012 07:34:00 PM,06/19/2012 07:34:00 PM,3,"400 N PAMELA WAY
Salt lake City, Utah
(40.77823097300046, -111.94275374599971)","400 N PAMELA WAY
Salt lake City, Utah
(40.77823097300046, -111.94275374599971)"
SL201258325,1316-2,ASSAULT,04/09/2012 09:38:00 AM,04/09/2012 09:38:00 AM,2,"700 S 300 E
Salt lake City, Utah
(40.75405378300047, -111.8825243979997)","700 S 300 E
Salt lake City, Utah
(40.75405378300047, -111.8825243979997)"
SL2012167747,1313-0,ASSAULT,09/23/2012 09:54:00 PM,09/23/2012 09:54:00 PM,1,"100 S 1000 E
Salt lake City, Utah
(40.76709086000045, -111.8624628659997)","100 S 1000 E
Salt lake City, Utah
(40.76709086000045, -111.8624628659997)"
SL201276098,1313-0,ASSAULT,05/07/2012 11:51:00 AM,05/07/2012 11:51:00 AM,2,"800 S 500 E
Salt lake City, Utah
(40.751891954000484, -111.87681276499967)","800 S 500 E
Salt lake City, Utah
(40.751891954000484, -111.87681276499967)"
SL201262204,1313-0,ASSAULT,04/15/2012 03:36:00 PM,04/15/2012 03:36:00 PM,1,"300 W REED AVE
Salt lake City, Utah
(40.78571717000045, -111.8998157149997)","300 W REED AVE
Salt lake City, Utah
(40.78571717000045, -111.8998157149997)"
SL201241413,1316-2,ASSAULT,03/12/2012 09:13:00 AM,03/12/2012 09:13:00 AM,2,"800 E FAIRMONT CIR
Salt lake City, Utah
(40.71735893400046, -111.8666089669997)","800 E FAIRMONT CIR
Salt lake City, Utah
(40.71735893400046, -111.8666089669997)"
SL201271625,1313-0,ASSAULT,04/30/2012 08:14:00 AM,04/30/2012 08:14:00 AM,2,"500 W 500 S
Salt lake City, Utah
(40.7585419560005, -111.9055767319997)","500 W 500 S
Salt lake City, Utah
(40.7585419560005, -111.9055767319997)"
SL2012124933,1316-2,ASSAULT,07/20/2012 05:42:00 PM,07/20/2012 05:42:00 PM,6,"1800 S STATE ST
Salt lake City, Utah
(40.73115090900046, -111.88827672699966)","1800 S STATE ST
Salt lake City, Utah
(40.73115090900046, -111.88827672699966)"
SL2012158270,1316-4,ASSAULT,09/08/2012 10:10:00 PM,09/08/2012 10:10:00 PM,7,"2700 S 1500 E
Salt lake City, Utah
(40.71112731800048, -111.84821137999967)","2700 S 1500 E
Salt lake City, Utah
(40.71112731800048, -111.84821137999967)"
SL2012205053,1313-0,ASSAULT,11/28/2012 05:16:00 PM,11/28/2012 05:16:00 PM,4,"1200 W ARAPAHOE AVE
Salt lake City, Utah
(40.75503839100048, -111.92603582199968)","1200 W ARAPAHOE AVE
Salt lake City, Utah
(40.75503839100048, -111.92603582199968)"
SL2012115434,1313-0,ASSAULT,07/06/2012 02:38:00 PM,07/04/2012 10:00:00 PM,4,"1600 E 2100 S
Salt lake City, Utah
(40.725706621000484, -111.84490268399969)","1600 E 2100 S
Salt lake City, Utah
(40.725706621000484, -111.84490268399969)"
SL2012160240,1313-0,ASSAULT,09/12/2012 12:46:00 AM,09/12/2012 12:46:00 AM,4,"800 E 5TH AVE
Salt lake City, Utah
(40.77504448200045, -111.86547027599971)","800 E 5TH AVE
Salt lake City, Utah
(40.77504448200045, -111.86547027599971)"
SL2012116655,1313-0,ASSAULT,07/08/2012 09:06:00 AM,07/08/2012 09:06:00 AM,1,"600 S 1400 W
Salt lake City, Utah
(40.75621014900048, -111.93070441099968)","600 S 1400 W
Salt lake City, Utah
(40.75621014900048, -111.93070441099968)"
SL2012192464,1305-0,ASSAULT,11/04/2012 11:33:00 PM,11/04/2012 11:33:00 PM,1,"2100 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77160192600047, -111.95136271399969)","2100 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77160192600047, -111.95136271399969)"
SL2012128145,1316-2,ASSAULT,07/25/2012 10:38:00 AM,07/25/2012 10:38:00 AM,4,"700 S 200 E
Salt lake City, Utah
(40.75407139400045, -111.88541572099967)","700 S 200 E
Salt lake City, Utah
(40.75407139400045, -111.88541572099967)"
SL201224338,1305-0,ASSAULT,02/11/2012 09:11:00 PM,02/11/2012 09:11:00 PM,7,"1200 E 2700 S
Salt lake City, Utah
(40.7126753230005, -111.85636971199972)","1200 E 2700 S
Salt lake City, Utah
(40.7126753230005, -111.85636971199972)"
SL201249026,1313-0,ASSAULT,03/24/2012 04:02:00 PM,03/24/2012 04:02:00 PM,7,"600 S WEST TEMPLE ST
Salt lake City, Utah
(40.75621014900048, -111.89397510799967)","600 S WEST TEMPLE ST
Salt lake City, Utah
(40.75621014900048, -111.89397510799967)"
SL201236068,1313-0,ASSAULT,03/03/2012 08:49:00 AM,03/03/2012 08:49:00 AM,7,"100 W 600 N
Salt lake City, Utah
(40.782481300000484, -111.8946258959997)","100 W 600 N
Salt lake City, Utah
(40.782481300000484, -111.8946258959997)"
SL2012131180,1313-1,ASSAULT,07/29/2012 07:37:00 PM,07/29/2012 07:37:00 PM,1,"100 W 600 S
Salt lake City, Utah
(40.75632706100049, -111.89405821499969)","100 W 600 S
Salt lake City, Utah
(40.75632706100049, -111.89405821499969)"
